crop_name,region,year,month,market_price,rainfall,crop_variety,area_sown,yield,irrigated_percent,fertilizer_used,msP,market_demand,export_demand,input_cost,transport_cost,govt_scheme_active,cold_storage_available,mandi_open
Moong,Delhi,2024,4,1866,69.0,default_variety,7489,2959,50,100,1,90.91,0.0,2000,945.5,0,0,0
Moong,Mumbai,2024,4,1795,37.0,default_variety,5121,1713,50,100,1,94.6,0.0,2000,1058.1999999999998,0,0,0
Moong,Kolkata,2024,4,1910,7.4,default_variety,2953,562,50,100,0,60.44,0.0,2000,957.8,0,0,1
Moong,Chennai,2024,4,1835,90.3,default_variety,2569,2154,50,100,0,88.92,0.0,2000,870.8,0,0,0
Moong,Lucknow,2024,4,2170,21.3,default_variety,7726,684,50,100,0,95.64,0.0,2000,874.9,1,0,1
Moong,Hyderabad,2024,4,1625,23.7,default_variety,7507,4438,50,100,1,88.41,0.0,2000,982.4,0,0,1
Masur,Delhi,2024,4,1925,42.7,default_variety,4732,905,50,100,1,64.03,0.0,2000,1033.7,0,0,0
Masur,Mumbai,2024,4,1433,63.8,default_variety,7312,4437,50,100,0,91.29,0.0,2000,969.8,1,0,0
Masur,Kolkata,2024,4,1718,61.6,default_variety,7396,2241,50,100,1,41.38,0.0,2000,910.0,1,0,1
Masur,Chennai,2024,4,1803,31.3,default_variety,8262,1973,50,100,1,39.83,0.0,2000,992.5,0,0,1
Masur,Lucknow,2024,4,1571,28.0,default_variety,5572,2845,50,100,1,77.5,0.0,2000,892.5,1,0,0
Masur,Hyderabad,2024,4,1772,19.2,default_variety,6743,1846,50,100,0,46.26,0.0,2000,1021.1,0,0,0
Onion,Delhi,2024,4,1304,38.5,default_variety,4675,3399,50,100,0,71.37,0.0,2000,1032.5,0,0,1
Onion,Mumbai,2024,4,1675,21.0,default_variety,1028,4276,50,100,0,64.8,0.0,2000,852.2,1,0,0
Onion,Kolkata,2024,4,1798,23.8,default_variety,5967,909,50,100,1,76.86,0.0,2000,1064.6,1,0,1
Onion,Chennai,2024,4,1770,97.1,default_variety,1956,2247,50,100,0,87.54,0.0,2000,1032.4,0,0,0
Onion,Lucknow,2024,4,1300,19.4,default_variety,2441,2317,50,100,1,21.6,0.0,2000,1096.7,1,0,0
Onion,Hyderabad,2024,4,1703,60.9,default_variety,1830,1562,50,100,1,10.31,0.0,2000,956.1,1,0,0
Potato,Delhi,2024,4,1918,24.3,default_variety,6940,2974,50,100,0,15.39,0.0,2000,1045.2,1,0,0
Potato,Mumbai,2024,4,1672,8.0,default_variety,7338,4203,50,100,0,54.4,0.0,2000,1073.7,1,0,0
Potato,Kolkata,2024,4,1603,97.5,default_variety,7507,3022,50,100,0,25.23,0.0,2000,868.0,0,0,1
Potato,Chennai,2024,4,1261,44.7,default_variety,6174,4661,50,100,0,11.47,0.0,2000,1001.3,0,0,1
Potato,Lucknow,2024,4,1331,39.4,default_variety,9051,3284,50,100,0,28.35,0.0,2000,944.2,0,0,0
Potato,Hyderabad,2024,4,1687,82.4,default_variety,5639,2739,50,100,0,62.32,0.0,2000,852.0999999999999,1,0,0
Tomato,Delhi,2024,4,1355,52.4,default_variety,6101,2948,50,100,1,96.08,0.0,2000,851.8000000000001,0,0,0
Tomato,Mumbai,2024,4,1338,80.9,default_variety,5457,2036,50,100,1,54.3,0.0,2000,1093.3,0,0,0
Tomato,Kolkata,2024,4,1492,38.2,default_variety,7862,1948,50,100,1,42.71,0.0,2000,1049.2,0,0,1
Tomato,Chennai,2024,4,1708,91.1,default_variety,4759,2132,50,100,1,22.14,0.0,2000,1097.0,0,0,0
Tomato,Lucknow,2024,4,2028,17.9,default_variety,6549,3371,50,100,1,50.38,0.0,2000,872.6,0,0,1
Tomato,Hyderabad,2024,4,2086,50.3,default_variety,4325,3112,50,100,1,38.32,0.0,2000,879.4,0,0,1
Gram,Delhi,2024,4,1213,92.9,default_variety,5341,4423,50,100,1,28.95,0.0,2000,1020.9,1,0,1
Gram,Mumbai,2024,4,1587,67.0,default_variety,3098,1033,50,100,1,94.64,0.0,2000,978.6,1,0,1
Gram,Kolkata,2024,4,1790,36.4,default_variety,9363,4034,50,100,0,20.55,0.0,2000,961.7,0,0,0
Gram,Chennai,2024,4,1137,36.1,default_variety,6253,4493,50,100,0,40.68,0.0,2000,934.3,1,0,1
Gram,Lucknow,2024,4,1687,69.4,default_variety,7550,3151,50,100,0,52.68,0.0,2000,851.4,1,0,1
Gram,Hyderabad,2024,4,2034,78.7,default_variety,8540,2641,50,100,0,33.51,0.0,2000,858.1999999999999,0,0,0
Tur,Delhi,2024,4,2008,21.7,default_variety,8540,4749,50,100,1,21.23,0.0,2000,920.6,0,0,1
Tur,Mumbai,2024,4,2185,92.8,default_variety,2834,2389,50,100,0,24.63,0.0,2000,965.2,0,0,1
Tur,Kolkata,2024,4,1731,49.6,default_variety,3911,4627,50,100,0,70.59,0.0,2000,938.3,1,0,1
Tur,Chennai,2024,4,1866,85.2,default_variety,7724,620,50,100,0,46.9,0.0,2000,1057.3,0,0,0
Tur,Lucknow,2024,4,1614,67.1,default_variety,9821,2075,50,100,1,29.26,0.0,2000,1006.9,0,0,1
Tur,Hyderabad,2024,4,1237,96.3,default_variety,6423,4003,50,100,1,70.14,0.0,2000,909.1,0,0,0
Urad,Delhi,2024,4,1471,69.6,default_variety,5211,1501,50,100,0,49.19,0.0,2000,893.1999999999999,0,0,0
Urad,Mumbai,2024,4,1686,93.8,default_variety,1344,1395,50,100,0,75.94,0.0,2000,863.7,1,0,0
Urad,Kolkata,2024,4,1457,35.3,default_variety,8703,2860,50,100,0,24.64,0.0,2000,952.3,1,0,0
Urad,Chennai,2024,4,2003,39.3,default_variety,9926,1026,50,100,1,48.34,0.0,2000,903.6,1,0,1
Urad,Lucknow,2024,4,1304,83.7,default_variety,2046,2500,50,100,1,43.13,0.0,2000,978.0,1,0,0
Urad,Hyderabad,2024,4,1221,52.8,default_variety,1072,4374,50,100,1,57.52,0.0,2000,1056.4,1,0,1
Moong,Delhi,2024,4,1916,93.7,default_variety,5365,3115,50,100,1,14.89,0.0,2000,919.0,1,0,0
Moong,Mumbai,2024,4,2030,66.1,default_variety,8128,2213,50,100,0,22.51,0.0,2000,885.3,1,0,1
Moong,Kolkata,2024,4,1554,33.5,default_variety,7743,3462,50,100,0,76.82,0.0,2000,989.3,0,0,0
Moong,Chennai,2024,4,1308,80.6,default_variety,7460,1457,50,100,0,40.24,0.0,2000,943.0,1,0,0
Moong,Lucknow,2024,4,1775,11.4,default_variety,2491,1576,50,100,1,42.19,0.0,2000,1051.5,1,0,0
Moong,Hyderabad,2024,4,1922,42.0,default_variety,9568,3279,50,100,1,30.93,0.0,2000,965.8,0,0,0
Masur,Delhi,2024,4,2140,47.0,default_variety,8257,3166,50,100,0,85.58,0.0,2000,908.1,1,0,0
Masur,Mumbai,2024,4,1449,79.1,default_variety,1159,4097,50,100,1,48.89,0.0,2000,971.8,1,0,1
Masur,Kolkata,2024,4,1202,89.2,default_variety,6976,4426,50,100,1,92.11,0.0,2000,1039.8,0,0,0
Masur,Chennai,2024,4,2151,67.5,default_variety,6854,2819,50,100,1,32.78,0.0,2000,1040.9,0,0,0
Masur,Lucknow,2024,4,1407,41.3,default_variety,6499,2870,50,100,0,81.76,0.0,2000,909.9,1,0,0
Masur,Hyderabad,2024,4,2005,42.4,default_variety,8920,873,50,100,1,58.84,0.0,2000,888.0,0,0,1
Onion,Delhi,2024,4,1429,59.2,default_variety,4325,3013,50,100,1,70.71,0.0,2000,942.1,1,0,0
Onion,Mumbai,2024,4,1543,24.1,default_variety,8551,3858,50,100,1,78.35,0.0,2000,947.3,0,0,0
Onion,Kolkata,2024,4,1840,69.6,default_variety,2511,1000,50,100,1,49.42,0.0,2000,979.6,0,0,1
Onion,Chennai,2024,4,1779,24.6,default_variety,8201,4860,50,100,1,32.85,0.0,2000,926.1,1,0,0
Onion,Lucknow,2024,4,1753,22.6,default_variety,1785,3124,50,100,0,85.99,0.0,2000,1082.4,1,0,0
Onion,Hyderabad,2024,4,1651,18.7,default_variety,9616,1012,50,100,0,66.01,0.0,2000,937.2,1,0,0
Potato,Delhi,2024,4,1775,68.9,default_variety,9245,1018,50,100,0,62.48,0.0,2000,986.3,1,0,0
Potato,Mumbai,2024,4,1441,3.2,default_variety,2077,4506,50,100,0,33.79,0.0,2000,1017.1,0,0,1
Potato,Kolkata,2024,4,1633,8.4,default_variety,2848,964,50,100,1,70.27,0.0,2000,956.9,0,0,1
Potato,Chennai,2024,4,2030,54.7,default_variety,3359,4133,50,100,1,74.23,0.0,2000,1019.0,1,0,0
Potato,Lucknow,2024,4,1449,61.4,default_variety,2298,2504,50,100,1,14.96,0.0,2000,1074.1,0,0,0
Potato,Hyderabad,2024,4,1961,52.5,default_variety,5260,3716,50,100,0,30.62,0.0,2000,982.0,0,0,0
Tomato,Delhi,2024,4,1683,17.2,default_variety,1884,4904,50,100,1,24.93,0.0,2000,1053.9,0,0,0
Tomato,Mumbai,2024,4,1757,87.6,default_variety,3872,2067,50,100,1,90.76,0.0,2000,884.0999999999999,0,0,1
Tomato,Kolkata,2024,4,1858,26.8,default_variety,9132,2687,50,100,1,37.33,0.0,2000,1048.4,1,0,0
Tomato,Chennai,2024,4,1228,31.2,default_variety,7160,2621,50,100,1,83.74,0.0,2000,885.6999999999999,1,0,1
Tomato,Lucknow,2024,4,1529,91.1,default_variety,4610,561,50,100,0,32.35,0.0,2000,1015.0,1,0,0
Tomato,Hyderabad,2024,4,1296,20.7,default_variety,1174,3259,50,100,0,76.16,0.0,2000,922.5,0,0,0
Gram,Delhi,2024,4,1675,85.7,default_variety,1215,1693,50,100,0,82.5,0.0,2000,865.6999999999999,1,0,1
Gram,Mumbai,2024,4,1630,5.6,default_variety,5902,2682,50,100,0,63.9,0.0,2000,957.4,1,0,1
Gram,Kolkata,2024,4,1634,42.8,default_variety,4803,4219,50,100,0,73.34,0.0,2000,997.9,1,0,0
Gram,Chennai,2024,4,1272,93.5,default_variety,2870,1701,50,100,0,12.83,0.0,2000,924.7,0,0,1
Gram,Lucknow,2024,4,1952,11.8,default_variety,9724,4137,50,100,0,70.36,0.0,2000,898.1999999999999,0,0,1
Gram,Hyderabad,2024,4,1757,24.3,default_variety,7229,3336,50,100,0,41.11,0.0,2000,871.4,0,0,0
Tur,Delhi,2024,4,1968,38.0,default_variety,3806,2232,50,100,1,61.09,0.0,2000,943.1,1,0,1
Tur,Mumbai,2024,4,1630,27.7,default_variety,6796,2234,50,100,0,33.96,0.0,2000,878.6,1,0,1
Tur,Kolkata,2024,4,2130,40.3,default_variety,5447,3732,50,100,0,77.73,0.0,2000,948.9,0,0,1
Tur,Chennai,2024,4,2014,3.6,default_variety,7199,2145,50,100,1,56.57,0.0,2000,1094.2,0,0,0
Tur,Lucknow,2024,4,1245,52.5,default_variety,4580,2035,50,100,1,69.94,0.0,2000,1013.6,0,0,0
Tur,Hyderabad,2024,4,2035,9.9,default_variety,4262,4358,50,100,0,25.66,0.0,2000,870.8,0,0,0
Urad,Delhi,2024,4,1435,59.5,default_variety,9381,4435,50,100,1,69.63,0.0,2000,953.8,0,0,0
Urad,Mumbai,2024,4,2024,50.5,default_variety,4265,4633,50,100,0,95.85,0.0,2000,1050.8,0,0,1
Urad,Kolkata,2024,4,1202,29.6,default_variety,6678,3379,50,100,1,32.61,0.0,2000,1069.0,0,0,0
Urad,Chennai,2024,4,1868,8.8,default_variety,2606,4586,50,100,1,12.95,0.0,2000,970.5,0,0,0
Urad,Lucknow,2024,4,1681,81.7,default_variety,3339,848,50,100,1,57.05,0.0,2000,855.1999999999999,1,0,1
Urad,Hyderabad,2024,4,1272,79.2,default_variety,7559,3459,50,100,0,38.81,0.0,2000,886.5,1,0,0
Moong,Delhi,2024,4,1695,17.0,default_variety,5980,2550,50,100,1,13.11,0.0,2000,926.8,1,0,1
Moong,Mumbai,2024,4,1278,85.2,default_variety,6757,4359,50,100,0,53.48,0.0,2000,911.8,0,0,0
Moong,Kolkata,2024,4,1570,41.3,default_variety,6405,4120,50,100,1,11.45,0.0,2000,967.3,1,0,1
Moong,Chennai,2024,4,2089,11.3,default_variety,5148,1932,50,100,0,27.67,0.0,2000,1072.3,0,0,0
Moong,Lucknow,2024,4,1542,29.4,default_variety,7359,2021,50,100,0,90.99,0.0,2000,1071.8000000000002,1,0,1
Moong,Hyderabad,2024,4,1771,4.9,default_variety,7107,2394,50,100,0,62.38,0.0,2000,868.8,1,0,1
Masur,Delhi,2024,4,1609,41.9,default_variety,8864,4870,50,100,0,66.05,0.0,2000,953.0,1,0,1
Masur,Mumbai,2024,4,1368,86.6,default_variety,1420,4832,50,100,1,51.46,0.0,2000,1030.4,1,0,1
Masur,Kolkata,2024,4,1117,40.2,default_variety,6827,1401,50,100,1,39.82,0.0,2000,933.6,0,0,1
Masur,Chennai,2024,4,1385,52.9,default_variety,7783,3797,50,100,0,64.4,0.0,2000,931.5,1,0,1
Masur,Lucknow,2024,4,1610,91.3,default_variety,6464,2914,50,100,1,88.87,0.0,2000,939.1,1,0,1
Masur,Hyderabad,2024,4,1180,94.6,default_variety,4202,2423,50,100,0,24.68,0.0,2000,1003.5,1,0,0
Onion,Delhi,2024,4,2053,31.9,default_variety,2982,2661,50,100,1,70.81,0.0,2000,964.4,1,0,0
Onion,Mumbai,2024,4,1730,7.7,default_variety,9654,1484,50,100,1,63.51,0.0,2000,1057.0,1,0,1
Onion,Kolkata,2024,4,2198,31.2,default_variety,9016,949,50,100,0,68.79,0.0,2000,985.6,1,0,0
Onion,Chennai,2024,4,1706,20.9,default_variety,3295,1028,50,100,0,71.74,0.0,2000,858.7,0,0,1
Onion,Lucknow,2024,4,1489,67.7,default_variety,8342,3925,50,100,0,34.83,0.0,2000,969.5,1,0,1
Onion,Hyderabad,2024,4,1612,22.3,default_variety,7299,4684,50,100,1,54.97,0.0,2000,907.1,0,0,0
Potato,Delhi,2024,4,1499,19.0,default_variety,9278,3162,50,100,1,87.49,0.0,2000,929.4,1,0,1
Potato,Mumbai,2024,4,1471,60.0,default_variety,3425,4221,50,100,0,97.21,0.0,2000,994.1,1,0,1
Potato,Kolkata,2024,4,1759,42.2,default_variety,2968,648,50,100,0,72.99,0.0,2000,999.9,1,0,0
Potato,Chennai,2024,4,1661,0.0,default_variety,9371,3892,50,100,1,46.29,0.0,2000,877.9000000000001,0,0,1
Potato,Lucknow,2024,4,1672,42.5,default_variety,9583,3869,50,100,0,51.6,0.0,2000,920.7,1,0,0
Potato,Hyderabad,2024,4,1106,71.2,default_variety,7259,1449,50,100,0,60.15,0.0,2000,1066.0,1,0,0
Tomato,Delhi,2024,4,1713,28.4,default_variety,6380,624,50,100,0,15.15,0.0,2000,1086.4,1,0,0
Tomato,Mumbai,2024,4,1999,54.1,default_variety,6357,3979,50,100,0,17.64,0.0,2000,879.0999999999999,1,0,1
Tomato,Kolkata,2024,4,1446,39.2,default_variety,1426,2682,50,100,1,26.81,0.0,2000,1087.0,0,0,1
Tomato,Chennai,2024,4,1961,30.2,default_variety,7092,832,50,100,0,76.5,0.0,2000,1006.0,1,0,1
Tomato,Lucknow,2024,4,1719,2.7,default_variety,8536,4625,50,100,1,72.19,0.0,2000,1085.1,1,0,1
Tomato,Hyderabad,2024,4,1703,20.6,default_variety,8290,3787,50,100,1,81.18,0.0,2000,856.7,1,0,1
Gram,Delhi,2024,4,1343,39.6,default_variety,6171,2940,50,100,1,38.59,0.0,2000,1075.3,1,0,0
Gram,Mumbai,2024,4,1822,21.7,default_variety,2665,2992,50,100,1,88.3,0.0,2000,993.9,0,0,1
Gram,Kolkata,2024,4,1491,88.2,default_variety,2732,2449,50,100,0,72.77,0.0,2000,973.6,1,0,1
Gram,Chennai,2024,4,2199,43.5,default_variety,6533,1069,50,100,1,82.87,0.0,2000,894.2,1,0,1
Gram,Lucknow,2024,4,1481,3.7,default_variety,5297,2992,50,100,0,83.68,0.0,2000,1050.6999999999998,0,0,1
Gram,Hyderabad,2024,4,1454,12.4,default_variety,5588,2604,50,100,1,38.89,0.0,2000,907.0,0,0,0
Tur,Delhi,2024,4,1782,18.9,default_variety,1319,2083,50,100,1,32.6,0.0,2000,1055.6,1,0,0
Tur,Mumbai,2024,4,1190,72.8,default_variety,6912,3402,50,100,1,45.36,0.0,2000,1089.0,0,0,1
Tur,Kolkata,2024,4,1360,5.1,default_variety,2497,632,50,100,1,63.73,0.0,2000,1017.0,0,0,1
Tur,Chennai,2024,4,1762,81.0,default_variety,7935,1844,50,100,0,71.89,0.0,2000,856.5999999999999,1,0,1
Tur,Lucknow,2024,4,1959,40.6,default_variety,1936,1405,50,100,0,18.58,0.0,2000,1028.0,1,0,0
Tur,Hyderabad,2024,4,2014,62.7,default_variety,6368,1600,50,100,1,32.45,0.0,2000,1076.8000000000002,0,0,1
Urad,Delhi,2024,4,1955,64.1,default_variety,3111,4321,50,100,0,26.9,0.0,2000,1020.1,1,0,1
Urad,Mumbai,2024,4,1266,70.7,default_variety,5788,800,50,100,0,71.01,0.0,2000,1006.1,1,0,0
Urad,Kolkata,2024,4,1591,68.5,default_variety,6606,2723,50,100,0,35.31,0.0,2000,878.3,0,0,0
Urad,Chennai,2024,4,1933,83.8,default_variety,2057,2542,50,100,0,90.11,0.0,2000,864.8000000000001,1,0,1
Urad,Lucknow,2024,4,2012,23.6,default_variety,6860,546,50,100,1,56.3,0.0,2000,1039.2,1,0,0
Urad,Hyderabad,2024,4,1966,49.4,default_variety,6307,1780,50,100,1,92.67,0.0,2000,947.4,0,0,0
Moong,Delhi,2024,4,1586,18.8,default_variety,2075,3267,50,100,1,27.01,0.0,2000,966.5,1,0,0
Moong,Mumbai,2024,4,1927,55.8,default_variety,4116,3783,50,100,1,76.9,0.0,2000,861.0,1,0,0
Moong,Kolkata,2024,4,1658,3.6,default_variety,7538,3397,50,100,0,17.81,0.0,2000,909.6,1,0,0
Moong,Chennai,2024,4,2000,21.2,default_variety,3718,1832,50,100,0,65.37,0.0,2000,857.4,1,0,1
Moong,Lucknow,2024,4,1264,27.8,default_variety,8226,3407,50,100,1,85.49,0.0,2000,948.9,0,0,0
Moong,Hyderabad,2024,4,1886,94.4,default_variety,7003,3162,50,100,1,33.05,0.0,2000,953.7,0,0,1
Masur,Delhi,2024,4,1457,7.9,default_variety,3774,3038,50,100,1,88.36,0.0,2000,890.5,0,0,1
Masur,Mumbai,2024,4,1177,50.6,default_variety,8008,2427,50,100,1,64.93,0.0,2000,1094.5,0,0,1
Masur,Kolkata,2024,4,1580,5.2,default_variety,1242,1303,50,100,0,65.45,0.0,2000,899.8000000000001,0,0,0
Masur,Chennai,2024,4,1933,0.2,default_variety,5659,597,50,100,1,21.27,0.0,2000,1060.0,1,0,1
Masur,Lucknow,2024,4,1720,26.4,default_variety,8132,2240,50,100,0,75.48,0.0,2000,884.2,1,0,0
Masur,Hyderabad,2024,4,1813,31.9,default_variety,2246,3957,50,100,1,93.33,0.0,2000,953.3,1,0,0
Onion,Delhi,2024,4,1421,15.1,default_variety,3812,3795,50,100,0,34.47,0.0,2000,937.5,0,0,0
Onion,Mumbai,2024,4,1922,38.9,default_variety,7199,1205,50,100,0,77.13,0.0,2000,870.1999999999999,0,0,0
Onion,Kolkata,2024,4,1884,10.8,default_variety,2140,4924,50,100,1,33.52,0.0,2000,940.2,0,0,1
Onion,Chennai,2024,4,1289,58.4,default_variety,5910,2164,50,100,1,83.37,0.0,2000,1001.3,1,0,1
Onion,Lucknow,2024,4,1783,57.7,default_variety,8043,2948,50,100,0,41.0,0.0,2000,1015.5,1,0,0
Onion,Hyderabad,2024,4,1474,62.3,default_variety,3814,2014,50,100,1,68.5,0.0,2000,952.3,0,0,1
Potato,Delhi,2024,4,1528,85.0,default_variety,9077,2305,50,100,1,49.91,0.0,2000,987.6,0,0,1
Potato,Mumbai,2024,4,1854,57.3,default_variety,9621,3152,50,100,1,90.1,0.0,2000,882.3000000000001,1,0,0
Potato,Kolkata,2024,4,1336,10.2,default_variety,1669,3159,50,100,0,31.69,0.0,2000,917.2,1,0,0
Potato,Chennai,2024,4,1708,66.2,default_variety,4902,4035,50,100,0,52.88,0.0,2000,1097.7,1,0,0
Potato,Lucknow,2024,4,1265,96.1,default_variety,1527,2229,50,100,1,30.75,0.0,2000,918.8,0,0,1
Potato,Hyderabad,2024,4,1701,25.9,default_variety,5481,4291,50,100,0,22.39,0.0,2000,989.2,0,0,1
Tomato,Delhi,2024,4,1664,18.5,default_variety,1997,4007,50,100,1,15.88,0.0,2000,1070.8,1,0,1
Tomato,Mumbai,2024,4,1436,15.3,default_variety,8093,4455,50,100,0,40.54,0.0,2000,1017.0,0,0,1
Tomato,Kolkata,2024,4,1456,34.9,default_variety,9756,530,50,100,0,27.73,0.0,2000,981.3,1,0,0
Tomato,Chennai,2024,4,1166,68.2,default_variety,1996,3410,50,100,0,51.06,0.0,2000,996.3,0,0,1
Tomato,Lucknow,2024,4,1615,10.9,default_variety,9115,1512,50,100,0,73.59,0.0,2000,886.3,0,0,1
Tomato,Hyderabad,2024,4,1309,62.9,default_variety,5513,4098,50,100,1,52.27,0.0,2000,907.6,1,0,0
Gram,Delhi,2024,4,1984,80.4,default_variety,4225,4325,50,100,1,85.91,0.0,2000,902.5,0,0,0
Gram,Mumbai,2024,4,1258,33.4,default_variety,3595,4106,50,100,0,50.76,0.0,2000,1048.0,1,0,0
Gram,Kolkata,2024,4,1360,64.8,default_variety,9372,4476,50,100,0,25.55,0.0,2000,865.6999999999999,1,0,1
Gram,Chennai,2024,4,1475,85.7,default_variety,3072,2342,50,100,0,98.97,0.0,2000,1068.8,0,0,1
Gram,Lucknow,2024,4,1343,58.4,default_variety,9272,538,50,100,0,16.11,0.0,2000,935.3,1,0,1
Gram,Hyderabad,2024,4,1816,52.1,default_variety,9637,3697,50,100,0,68.86,0.0,2000,1033.9,1,0,1
Tur,Delhi,2024,4,1644,43.1,default_variety,4975,2133,50,100,0,12.06,0.0,2000,1092.0,1,0,0
Tur,Mumbai,2024,4,1106,96.2,default_variety,6724,3412,50,100,1,67.67,0.0,2000,889.5999999999999,1,0,0
Tur,Kolkata,2024,4,1768,62.0,default_variety,6685,2519,50,100,0,73.36,0.0,2000,1067.1,0,0,0
Tur,Chennai,2024,4,1968,55.2,default_variety,7378,1108,50,100,1,77.35,0.0,2000,997.6,1,0,1
Tur,Lucknow,2024,4,1197,61.5,default_variety,9898,2277,50,100,0,14.87,0.0,2000,1002.7,0,0,0
Tur,Hyderabad,2024,4,1734,68.7,default_variety,6318,4998,50,100,1,99.69,0.0,2000,958.6,1,0,0
Urad,Delhi,2024,4,1331,64.2,default_variety,8717,3486,50,100,1,40.25,0.0,2000,861.9,0,0,1
Urad,Mumbai,2024,4,1550,62.5,default_variety,8281,4584,50,100,1,61.38,0.0,2000,1019.5,0,0,0
Urad,Kolkata,2024,4,1695,80.1,default_variety,9833,4281,50,100,1,58.66,0.0,2000,910.4,1,0,0
Urad,Chennai,2024,4,1303,37.3,default_variety,2346,708,50,100,0,77.27,0.0,2000,911.9,0,0,1
Urad,Lucknow,2024,4,1102,18.7,default_variety,5087,2170,50,100,1,93.19,0.0,2000,1033.5,1,0,1
